"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X5L8JIAF","conferencePaper","2025","Wu, Shuo; Ren, Wu; Tong, Chengde; Zeng, Yaoxin; Sui, Yi; Zheng, Ping","Speed Control of Low-Speed PMSM Based on improved Proportional-Resonant and Kalman Filter Strategy","2025 28th International Conference on Electrical Machines and Systems (ICEMS)","978-89-86510-23-2","","10.23919/ICEMS66262.2025.11317315","https://ieeexplore.ieee.org/document/11317315/","","2025-11-16","2026-08-24 20:18:08","2026-08-24 20:19:45","2026-08-24 20:18:08","2110-2115","","","","","","","","","","","IEEE","Busan, Korea, Republic of","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\4TGV26CD\Wu et al. - 2025 - Speed Control of Low-Speed PMSM Based on improved Proportional-Resonant and Kalman Filter Strategy.pdf","","PMSM; SENSORLESS; Cogging; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 28th International Conference on Electrical Machines and Systems (ICEMS)","","","","","","","","","","","","","","",""
"GK8Q88RJ","conferencePaper","2026","Zhang, Wenjuan; Gao, Shicheng; Lyu, Mingcheng; Gao, Jian","Smooth Sensorless Startup in PMSM Drives Through Cogging Torque Mitigation","2026 IEEE International Magnetic Conference - Short Papers (INTERMAG Short Papers)","979-8-3315-5762-1","","10.1109/INTERMAGShortPapers68882.2026.11596104","https://ieeexplore.ieee.org/document/11596104/","","2026-04-13","2026-08-24 20:18:17","2026-08-24 20:18:48","2026-08-24 20:18:17","1-2","","","","","","","","","","","IEEE","Manchester, United Kingdom","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\6F8K57DV\A_Hybrid_Approach_for_an_Efficient_Estimation_and_.pdf; C:\Users\damia\Zotero\storage\YY79E7GT\Zhang et al. - 2026 - Smooth Sensorless Startup in PMSM Drives Through Cogging Torque Mitigation.pdf","","PMSM; SENSORLESS; HFI; Disturbed observer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2026 IEEE International Magnetic Conference - Short Papers (INTERMAG Short Papers)","","","","","","","","","","","","","","",""
"8AMB3EJF","journalArticle","","Helsing, Robin; Sanchez, Tobias","Modeling and Control of a PMSM Operating in Low Speeds","","","","","","","","2026-08-24 20:22:49","2026-08-24 20:40:21","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\PMH8UYC3\Helsing y Sanchez - Modeling and Control of a PMSM Operating in Low Speeds.pdf","","PMSM; SENSORLESS; HFI; Disturbed observer; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49WATXNG","journalArticle","","Martinez, Maria; Laborda, Diego F; Reigosa, David; Fernandez, Daniel; Guerrero, J M; Briz, Fernando","SynRM Sensorless Torque Estimation Using High Frequency Signal Injection","","","","","","Precise output torque control is often required in applications using synchronous reluctance machines. Direct measurement of torque has drawbacks due to both cost and reliability issues. To overcome these limitations, the development of torque estimation methods has received signiﬁcant research attention. Most of the exiting torque estimation methods require knowledge of machine parameters, suffering therefore from parameter sensitivity. Load and saturation are recognized as the primary source of parameter variation. This paper proposes the use of high frequency signal injection for on-line estimation of the machine parameters required for torque estimation. The improvement in the torque estimation will be especially relevant in deep-saturation regions. The method operates without interfering with the normal operation of the machine.","","2026-08-24 20:22:55","2026-08-24 20:36:47","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\WVNT5H7C\Martinez et al. - SynRM Sensorless Torque Estimation Using High Frequency Signal Injection.pdf","","SENSORLESS; HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYSTGZ5J","journalArticle","2015","Seilmeier, Markus; Ebersberger, Sebastian; Piepenbreier, Bernhard","HF Test Current Injection-Based Self-Sensing Control of PMSM for Low- and Zero-Speed Range Using Two-Degree-of-Freedom Current Control","IEEE Transactions on Industry Applications","","0093-9994, 1939-9367","10.1109/TIA.2014.2369828","http://ieeexplore.ieee.org/document/6954444/","","2015-05","2026-08-24 20:23:00","2026-08-24 20:34:43","2026-08-24 20:23:00","2268-2278","","3","51","","IEEE Trans. on Ind. Applicat.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\P5EKZDT8\Seilmeier et al. - 2015 - HF Test Current Injection-Based Self-Sensing Control of PMSM for Low- and Zero-Speed Range Using Two.pdf","","SENSORLESS; HFI; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSRQFPHR","conferencePaper","2017","Wen, Xin; Zhang, Yan; Lin, Yahong","Observability analysis and EKF-based sensorless control of permanent magnet synchronous machine","2017 36th Chinese Control Conference (CCC)","978-988-15639-3-4","","10.23919/ChiCC.2017.8027336","http://ieeexplore.ieee.org/document/8027336/","","2017-07","2026-08-24 20:23:17","2026-08-24 20:31:40","2026-08-24 20:23:17","151-156","","","","","","","","","","","IEEE","Dalian, China","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\R6Z23UIL\Wen et al. - 2017 - Observability analysis and EKF-based sensorless control of permanent magnet synchronous machine.pdf","","PMSM; SENSORLESS; HFI; Disturbed observer; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 36th Chinese Control Conference (CCC)","","","","","","","","","","","","","","",""
"NFFCUV2L","conferencePaper","2022","Montero, E. Rodriguez; Vogelsberger, M.; Wolbank, T.","Robust Saliency-Based Speed Sensorless Control of Induction Machines under Overload Operation","2022 International Conference on Electrical Machines (ICEM)","978-1-6654-1432-6","","10.1109/ICEM51905.2022.9910761","https://ieeexplore.ieee.org/document/9910761/","","2022-09-05","2026-08-24 20:23:23","2026-08-24 20:36:23","2026-08-24 20:23:23","586-591","","","","","","","","","","","IEEE","Valencia, Spain","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\5Z3VSKIA\Montero et al. - 2022 - Robust Saliency-Based Speed Sensorless Control of Induction Machines under Overload Operation.pdf","","PMSM; SENSORLESS; HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Conference on Electrical Machines (ICEM)","","","","","","","","","","","","","","",""
"6T8GNZUN","conferencePaper","2013","Yituo Li; Haifeng Lu; Wenlong Qu; Shuang Sheng; Zhengyu Wang","Sensorless control of PMSM based on low frequency voltage injection at low speeds and standstill","2013 IEEE ECCE Asia Downunder","978-1-4799-0482-2 978-1-4799-0483-9","","10.1109/ECCE-Asia.2013.6579191","http://ieeexplore.ieee.org/document/6579191/","","2013-06","2026-08-24 20:23:26","2026-08-24 20:30:19","2026-08-24 20:23:26","781-787","","","","","","","","","","","IEEE","Melbourne, VIC","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\WYSEZQA8\Yituo Li et al. - 2013 - Sensorless control of PMSM based on low frequency voltage injection at low speeds and standstill.pdf","","PMSM; SENSORLESS; HFI; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 IEEE ECCE Asia Downunder (ECCE Asia 2013)","","","","","","","","","","","","","","",""
"XGFE4Q25","journalArticle","2026","Jin, Tong; Sun, Wei; Zhang, Guoqiang; Wang, Gaolin; Jiang, Dong; Li, Dawei; Xu, Dianguo","Zero Speed Sensorless Scheme for PMSM Drives Using Virtual Flux Signal Injection Based Hybrid Active Flux Observer","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2025.3634413","https://ieeexplore.ieee.org/document/11317795/","","2026-05","2026-08-24 20:23:43","2026-08-24 20:38:15","2026-08-24 20:23:43","6657-6668","","5","73","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\HPAIHY38\Jin et al. - 2026 - Zero Speed Sensorless Scheme for PMSM Drives Using Virtual Flux Signal Injection Based Hybrid Active.pdf","","PMSM; SENSORLESS; HFI; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJ53AIRB","conferencePaper","2025","Wang, Dongwen; Wang, Zhuofan; Zhang, Peijun; Niu, Libo","Optimized Nonlinear High-Frequency Injection for Sensorless PMSM in Low-Speed Industrial Servo Systems","2025 4th International Conference on Energy and Electrical Power Systems (ICEEPS)","979-8-3315-9866-2","","10.1109/ICEEPS66790.2025.11239596","https://ieeexplore.ieee.org/document/11239596/","","2025-07-17","2026-08-24 20:23:55","2026-08-24 20:33:05","2026-08-24 20:23:55","982-986","","","","","","","","","","","IEEE","Guangzhou, China","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\3FBJN85Z\Wang et al. - 2025 - Optimized Nonlinear High-Frequency Injection for Sensorless PMSM in Low-Speed Industrial Servo Syste.pdf","","PMSM; SENSORLESS; HFI; Low-speed; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 4th International Conference on Energy and Electrical Power Systems (ICEEPS)","","","","","","","","","","","","","","",""
"INHVHLU5","journalArticle","2022","Shahzad, Kashif; Jawad, Muhammad; Ali, Khurram; Akhtar, Jahanzeb; Khosa, Ikramullah; Bajaj, Mohit; Elattar, Ehab E.; Kamel, Salah","A Hybrid Approach for an Efficient Estimation and Control of Permanent Magnet Synchronous Motor with Fast Dynamics and Practically Unavailable Measurements","Applied Sciences","","2076-3417","10.3390/app12104958","https://www.mdpi.com/2076-3417/12/10/4958","This paper presents an interesting hybrid solution to a challenging estimation and control problem of the Permanent Magnet Synchronous Motor (PMSM). Apart from the inherently nonlinear nature of the PMSM, which makes this problem particularly challenging, is the unavailability of the measurements, rotor position, and speed. In an effort to efficiently cope with such issues along with the random noise environment, the Unscented Kalman Filter (UKF) is chosen to estimate the states of the PMSM dynamic system and the Model Predictive Control (MPC) is utilized to control the state space vector in Pulse Width Modulation (PWM). Additionally, the MPC has also been implemented in combination with the Extended Kalman Filter (EKF) and also with Sliding Mode Control (SMC), in order to vigorously compare these hybrid approaches in terms of accuracy, robustness, and transient response. The MPC-UKF, a combination that has never been implemented before, outperforms the other two by efficiently dealing with the issues of high nonlinearities, by accurately estimating the states while the measurements were practically unavailable, and coping with the fast dynamics of the PMSM.","2022-05-13","2026-08-24 20:23:59","2026-08-24 20:35:55","2026-08-24 20:23:59","4958","","10","12","","Applied Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\Z9K38B4G\Shahzad et al. - 2022 - A Hybrid Approach for an Efficient Estimation and Control of Permanent Magnet Synchronous Motor with.pdf","","PMSM; SENSORLESS; HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQL453KA","conferencePaper","2016","Trancho, E.; Ibarra, E.; Arias, A.; Salazar, C.; Lopez, I.; Diaz De Guerenu, A.; Pena, A.","A novel PMSM hybrid sensorless control strategy for EV applications based on PLL and HFI","IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society","978-1-5090-3474-1","","10.1109/IECON.2016.7793330","http://ieeexplore.ieee.org/document/7793330/","","2016-10","2026-08-24 20:24:05","2026-08-24 20:33:54","2026-08-24 20:24:05","6669-6674","","","","","","","","","","","IEEE","Florence, Italy","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\5IL93IXH\Trancho et al. - 2016 - A novel PMSM hybrid sensorless control strategy for EV applications based on PLL and HFI.pdf","","PMSM; SENSORLESS; HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society","","","","","","","","","","","","","","",""
"I4STCLIY","journalArticle","2015","Zhao, Yue; Zhang, Zhe; Qiao, Wei; Wu, Long","An Extended Flux Model-Based Rotor Position Estimator for Sensorless Control of Salient-Pole Permanent-Magnet Synchronous Machines","IEEE Transactions on Power Electronics","","0885-8993, 1941-0107","10.1109/TPEL.2014.2358621","https://ieeexplore.ieee.org/document/6901236/","","2015-08","2026-08-24 20:24:15","2026-08-24 20:28:59","2026-08-24 20:24:14","4412-4422","","8","30","","IEEE Trans. Power Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\K82L2SFN\Zhao et al. - 2015 - An Extended Flux Model-Based Rotor Position Estimator for Sensorless Control of Salient-Pole Permane.pdf","","HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEJT6X92","journalArticle","2016","Galvis-Restrepo, Eduard; Vásquez-Lopez, Virgilio; Ferreira-Jaimes, Julián","Motor de reluctancia conmutada: modelado, simulación y control","Respuestas","","2422-5053, 0122-820X","10.22463/0122820X.578","https://revistas.ufps.edu.co/index.php/respuestas/article/view/578","The switched reluctance motor (SRM) is a doubly-salient machine. This means that it has salient poles on both the rotor and stator. A SRM construction is simple as compared to other types of electric motors. The rotor has no windings or magnet; the windings are concentrated in the stator. The purpose of this article is the development of a speed control strategy for this kind of motor. Description of a nonlinear SRM model and its respective simulation in Matlab/Simulink environment is presented. The constant rotor speed control of SRM is achieved from current control perspective with a PI controller.","2016-05-19","2026-09-09 21:32:33","2026-09-09 21:32:37","2026-09-09 21:32:33","29-37","","1","12","","Respuestas","Motor de reluctancia conmutada","","","","","","","es","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\CP6T862U\Galvis-Restrepo et al. - 2016 - Motor de reluctancia conmutada modelado, simulación y control.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNIW5WRT","journalArticle","","Martinez, Maria; Laborda, Diego F; Reigosa, David; Fernandez, Daniel; Guerrero, J M; Briz, Fernando","SynRM Sensorless Torque Estimation Using High Frequency Signal Injection","","","","","","Precise output torque control is often required in applications using synchronous reluctance machines. Direct measurement of torque has drawbacks due to both cost and reliability issues. To overcome these limitations, the development of torque estimation methods has received signiﬁcant research attention. Most of the exiting torque estimation methods require knowledge of machine parameters, suffering therefore from parameter sensitivity. Load and saturation are recognized as the primary source of parameter variation. This paper proposes the use of high frequency signal injection for on-line estimation of the machine parameters required for torque estimation. The improvement in the torque estimation will be especially relevant in deep-saturation regions. The method operates without interfering with the normal operation of the machine.","","2026-09-09 21:32:58","2026-09-09 21:32:59","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\3FI2WIND\Martinez et al. - SynRM Sensorless Torque Estimation Using High Frequency Signal Injection.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKR27Y85","journalArticle","2025","Dominica C. Ihem; Rachael I. Ovbiagele; Chidiebere D. Obasi; Uchendu U. Nlerum","IMPACT OF SALIENCY RATIO VARIATION ON TORQUE PERFORMANCE IN INTERIOR PERMANENT MAGNET SYNCHRONOUS MOTOR","","","2394-7349","10.5281/ZENODO.15727876","https://zenodo.org/doi/10.5281/zenodo.15727876","Abstract: This paper studies effects of changes in saliency ratio on the electromagnetic torque performance of Interior Permanent Magnet Synchronous Motors (IPMSMs). The saliency ratio (q-axis to d-axis inductance ratio) Lq/Ld has a decisive impact on the formation of both the magnet and reluctance torque in the IPMSM. A MATLAB dq-axis dynamic equations simulation model was developed to assess the torque response with different saliency ratios. The results reveal that as the saliency ratio increases, the average and peak torque increase on the whole, mainly because the contribution of reluctance torque becomes considerable. A motor produces only magnet torque at the saliency ratio of unity, and the reluctance torque becomes dominant as Lq becomes larger than Ld. It can be seen by the time-waveform of the electromagnetic torque higher torque values obtained by larger saliency ratio. Besides the torque improvement, the simulation showed that the torque ripple increased slightly which means a trade-off between performances and smoothness. Additionally, when analyzing the stator current dynamics it was observed that as the saliency value increases iq remains rather the same, although id is outlined with more dynamics, resulting in profound transients in higher saliency ratios. The simulation also generated characteristic curves of saliency ratio versus average torque, peak torque and torque ripple. These results validate that the saliency ratio greatly affects the performance and dynamic characteristic of IPMSMs. This knowledge can be used to optimize rotor design for high performance electric drive applications. The MATLAB model developed in this work is a flexible platform for design assessment and can also be used for testing control strategies or for validating experimental outcomes. Keywords: Electromagnetic torque, interior permanent magnet synchronous motor, MATLAB simulation, saliency ratio, stator currents. Title: IMPACT OF SALIENCY RATIO VARIATION ON TORQUE PERFORMANCE IN INTERIOR PERMANENT MAGNET SYNCHRONOUS MOTOR Author: Dominica C. Ihem, Rachael I. Ovbiagele, Chidiebere D. Obasi, Uchendu U. Nlerum International Journal of Novel Research in Engineering and Science ISSN 2394-7349 Vol. 12, Issue 1, March 2025 - August 2025 Page No: 46-54 Novelty Journals Website: www.noveltyjournals.com Published Date: 24-June-2025 DOI: https://doi.org/10.5281/zenodo.15727876 Paper Download Link (Source) https://www.noveltyjournals.com/upload/paper/IMPACT%20OF%20SALIENCY%20RATIO%20VARIATION-24062025-5.pdf","2025-06-24","2026-09-09 21:33:26","2026-09-09 21:33:33","2026-09-09 21:33:26","","","","","","","","","","","","Novelty Journals","","en","Creative Commons Attribution 4.0 International","","","","DOI.org (Datacite)","","","","C:\Users\damia\Zotero\storage\R6MQBAJY\Dominica C. Ihem et al. - 2025 - IMPACT OF SALIENCY RATIO VARIATION ON TORQUE PERFORMANCE IN INTERIOR PERMANENT MAGNET SYNCHRONOUS MO.pdf","","","Electromagnetic torque; interior permanent magnet synchronous motor; MATLAB simulation; saliency ratio; stator currents; /unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2TEGQU7","journalArticle","2015","Koteich, Mohamad; Maloum, Abdelmalek; Duc, Gilles; Sandou, Guillaume","Discussion on “AC Drive Observability Analysis”","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2015.2438777","http://ieeexplore.ieee.org/document/7115092/","In the paper by Vaclavek et al. (IEEE Trans. Ind. Electron., vol. 60, no. 8, pp. 3047–3059, Aug. 2013), the local observability of both induction machine and permanent-magnet synchronous machine (PMSM) under motion-sensorless operation is studied. In this letter, the “slowly varying” speed assumption is discussed, and the PMSM observability condition at standstill is revisited.","2015-11","2026-09-09 21:34:24","2026-09-09 21:34:31","2026-09-09 21:34:24","7224-7225","","11","62","","IEEE Trans. Ind. Electron.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\B9AYX5NG\Koteich et al. - 2015 - Discussion on “AC Drive Observability Analysis”.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AS578SJ","journalArticle","2025","Yu, Ke; Xiang, Fuyuan; Su, Jinya; Zhu, Wenwu; Li, Shihua","Simultaneous State and Disturbances Estimation for Sensorless PMSM Control: Design and Experiments","IEEE Transactions on Power Electronics","","0885-8993, 1941-0107","10.1109/TPEL.2025.3596683","https://ieeexplore.ieee.org/document/11119337/","Sensorless control for permanent magnet synchronous motor (PMSM) is drawing increasing research interest in both academia and industry. To enhance the robustness of sensorless control schemes, disturbance observers are typically designed for feedforward disturbance compensation. However, the conventional framework, which separately estimates speed/position and disturbances, may lead to system instability, particularly when disturbances signiﬁcantly affect speed/position estimation performance. To address this issue, this article proposes a novel estimation-based control framework that simultaneously estimates system states and disturbances. Within this framework, two simultaneous observers are introduced. First, an augmented extended Kalman ﬁlter that extends disturbances as additional states and second, a composite extended Kalman ﬁlter integrating disturbance observer and extended Kalman ﬁlter. The feasibility and effectiveness of the proposed sensorless control schemes are validated through extensive comparative hardware experiments. Compared with the conventional separate-estimation framework, the proposed approach signiﬁcantly improves speed and positionestimation accuracy under load disturbances in sensorless PMSM drives.","2025-12","2026-09-09 21:34:40","2026-09-09 21:34:43","2026-09-09 21:34:40","17750-17760","","12","40","","IEEE Trans. Power Electron.","Simultaneous State and Disturbances Estimation for Sensorless PMSM Control","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\6MDDQPU4\Yu et al. - 2025 - Simultaneous State and Disturbances Estimation for Sensorless PMSM Control Design and Experiments.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LG4MBDY","conferencePaper","2023","Horváth, Krisztián","Load Torque and Permanent Magnet Flux Linkage Estimation of Surface-Mounted PMSM by Using Unscented Kalman Filter","2023 International Conference on Electrical Drives and Power Electronics (EDPE)","979-8-3503-2275-0","","10.1109/EDPE58625.2023.10274042","https://ieeexplore.ieee.org/document/10274042/","In this study, state estimators are designed and compared for surface-mounted permanent magnet synchronous machine (PMSM) drives. The state-space representations used for estimator design are the inﬁnite inertia model, the full model including the equation of motion, and an augmented description extended by the permanent magnet (PM) ﬂux linkage as an additional state variable. By using the latter model, the estimators are less sensitive to the PM ﬂux linkage mismatches due to the online identiﬁcation of this parameter. For each nonlinear models, observability analyses are presented with and without position measurement. Based on all six models, state estimators are implemented using unscented Kalman ﬁlter (UKF) algorithm, and the estimation performances are compared by simulations.","2023-09-25","2026-09-09 21:34:51","2026-09-09 21:34:53","2026-09-09 21:34:51","1-8","","","","","","","","","","","IEEE","The High Tatras, Slovakia","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\3SPGLPQD\Horváth - 2023 - Load Torque and Permanent Magnet Flux Linkage Estimation of Surface-Mounted PMSM by Using Unscented.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 International Conference on Electrical Drives and Power Electronics (EDPE)","","","","","","","","","","","","","","",""
"7ZQKQW2S","conferencePaper","2015","Koteich, Mohamad; Maloum, Abdelmalek; Duc, Gilles; Sandou, Guillaume","Local weak observability conditions of sensorless AC drives","2015 17th European Conference on Power Electronics and Applications (EPE'15 ECCE-Europe)","978-90-75815-22-1","","10.1109/EPE.2015.7309238","http://ieeexplore.ieee.org/document/7309238/","Alternating current (AC) electrical drive control without mechanical sensors is an active research topic. This paper studies the observability of both induction machine and synchronous machine sensorless drives. Observer-based sensorless techniques are known for their deteriorated performance in some operating conditions. An observability analysis of the machines helps understanding (and improving) the observer’s behavior in the aforementioned conditions.","2015-09","2026-09-09 21:35:00","2026-09-09 21:35:03","2026-09-09 21:35:00","1-10","","","","","","","","","","","IEEE","Geneva","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\QK7FT2SY\Koteich et al. - 2015 - Local weak observability conditions of sensorless AC drives.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 17th European Conference on Power Electronics and Applications (EPE'15 ECCE-Europe)","","","","","","","","","","","","","","",""
"DKE5VMD4","conferencePaper","2009","Zaltni, Dalila; Abdelkrim, Mohamed Naceur; Ghanes, Malek; Barbot, Jean Pierre","Observability analysis of PMSM","2009 3rd International Conference on Signals, Circuits and Systems (SCS)","978-1-4244-4397-0","","10.1109/ICSCS.2009.5412536","http://ieeexplore.ieee.org/document/5412536/","The current problems to successfully apply sensorless control techniques for Permanent Magnet Synchronous Motor (PMSM) are the existence of operating conditions for which the observer performance is remarkably deteriorated. This is due to difﬁculties in estimating correctly the rotor position at low speed. The failure of sensor-less schemes in some particular operating conditions has been always recognized in experimental settings. However, there are no sufﬁcient theoretical observability analysis for the PMSM. In the literature, only the sufﬁcient observability condition has been presented. Therefore, the current work is aimed specially to necessary observability condition analysis. Thus, we give here the necessary and sufﬁcient states observability condition for the PMSM. An example is presented to illustrate the results.","2009-11","2026-09-09 21:35:10","2026-09-09 21:35:14","2026-09-09 21:35:10","1-6","","","","","","","","","","","IEEE","Medenine, Tunisia","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\84JDDTKW\Zaltni et al. - 2009 - Observability analysis of PMSM.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009 3rd International Conference on Signals, Circuits and Systems (SCS 2009)","","","","","","","","","","","","","","",""
"ACUGHL8Z","conferencePaper","2015","Koteich, Mohamad; Maloum, Abdelmalek; Duc, Gilles; Sandou, Guillaume","Permanent magnet synchronous drives observability analysis for motion-sensorless control","2015 IEEE Symposium on Sensorless Control for Electrical Drives (SLED)","","","10.1109/SLED.2015.7339264","http://arxiv.org/abs/1601.06130","Motion-sensorless control techniques of electrical drives are attracting more attention in different industries. The local observability of sensorless permanent magnet synchronous drives is studied in this paper. A special interest is given to the standstill operation condition, where sensorless drives suffer of poor performance. Both, salient and non-salient machines are considered. The results are illustrated using numerical simulations.","2015-06","2026-09-09 21:35:34","2026-09-09 21:35:36","2026-09-09 21:35:34","1-8","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv:1601.06130 [math.CA]","","C:\Users\damia\Zotero\storage\SFI7IHWS\Koteich et al. - 2015 - Permanent magnet synchronous drives observability analysis for motion-sensorless control.pdf","","","/unread; Mathematics - Classical Analysis and ODEs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HACMZIE5","journalArticle","2020","Wang, Gaolin; Valla, Maria; Solsona, Jorge","Position Sensorless Permanent Magnet Synchronous Machine Drives—A Review","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2019.2955409","https://ieeexplore.ieee.org/document/8917922/","Owing to the competitive advantages of cost reduction, system downsizing, and reliability enhancement, position sensorless control methods for permanent magnet synchronous machine drives have drawn increasing attention from academia to industrial applications. In this article, a survey of the major sensorless control techniques for a wide speed range from low to high speeds is presented. The different high frequency signal injection schemes, fundamental pulsewidth modulation excitation methods, and model-based sensorless control are displayed and compared, which is able to facilitate the sensorless control implementation.","2020-07","2026-09-09 21:35:40","2026-09-09 21:35:41","2026-09-09 21:35:40","5830-5842","","7","67","","IEEE Trans. Ind. Electron.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\B6FIT9B8\Wang et al. - 2020 - Position Sensorless Permanent Magnet Synchronous Machine Drives—A Review.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
